,date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_dollar,adj_price,USD,EUR,GBP,JPY,CNY
33,2011-07-01,TWN,TWD,Taiwan,75.0,28.834,2.60109592841784,18457.752,3.67997748544432,-0.075,-0.321,-0.149,-0.12300000000000001,-0.105
34,2011-07-01,THA,THB,Thailand,70.0,29.75,2.35294117647059,4991.525,2.9138400328592495,0.057,-0.225,-0.027999999999999997,0.002,0.023
35,2011-07-01,TUR,TRY,Turkey,6.5,1.72285,3.77281829526656,10398.685,3.22147095190731,0.5329999999999999,0.124,0.41,0.45299999999999996,0.483
36,2011-07-01,USA,USD,United States,4.065,1.0,4.065,47283.633,5.31997561096682,0.0,-0.266,-0.08,-0.052000000000000005,-0.032
37,2012-01-01,ARG,ARS,Argentina,20.0,4.3135,4.63660600440478,9138.177,2.99418969628743,0.7559999999999999,0.496,0.718,0.6940000000000001,0.762
38,2012-01-01,AUS,AUD,Australia,4.8,0.972337012,4.9365600000424505,55589.549000000006,5.14234622246052,0.08800000000000001,-0.073,0.065,0.05,0.092
39,2012-01-01,BRA,BRL,Brazil,10.25,1.805,5.6786703601108,10816.487,3.0718036057203197,1.0959999999999999,0.7859999999999999,1.051,1.023,1.103
40,2012-01-01,GBR,GBP,Britain,2.49,0.651253663,3.8233950017721403,36119.846,4.24196443046304,0.022000000000000002,-0.129,0.0,-0.013999999999999999,0.025
41,2012-01-01,CAN,CAD,Canada,4.73,1.02095,4.63293990890837,46214.914000000004,4.70881363798184,0.115,-0.05,0.092,0.077,0.11900000000000001
42,2012-01-01,CHL,CLP,Chile,2050.0,506.05,4.0509831044363205,11827.958,3.11857936144364,0.473,0.255,0.441,0.42100000000000004,0.478
43,2012-01-01,CHN,CNY,China,15.4,6.3155,2.43844509540021,4382.1359999999995,2.7742452668118798,-0.004,-0.151,-0.025,-0.038,0.0
44,2012-01-01,COL,COP,Colombia,8400.0,1852.15,4.535269821558731,6273.371999999999,2.8617059979165202,0.797,0.531,0.758,0.7340000000000001,0.8029999999999999
45,2012-01-01,CZE,CZK,Czech Republic,70.22,20.36535,3.44801341494254,18288.284,3.4173389214003502,0.14400000000000002,-0.025,0.11900000000000001,0.10400000000000001,0.14800000000000002
46,2012-01-01,DNK,DKK,Denmark,31.5,5.86135,5.374188540182719,56147.143,5.168132310975951,0.179,0.005,0.154,0.138,0.183
47,2012-01-01,EGY,EGP,Egypt,15.5,6.037000000000001,2.56750041411297,2788.829,2.7005623445884597,0.078,-0.08199999999999999,0.055,0.04,0.08199999999999999
48,2012-01-01,EUZ,EUR,Euro area,3.49245637,0.788239467,4.43070477464433,36947.0,4.28021639562028,0.174,0.0,0.14800000000000002,0.133,0.17800000000000002
49,2012-01-01,HKG,HKD,Hong Kong,16.5,7.76735,2.12427661943906,31590.681,4.03251194426167,-0.40299999999999997,-0.491,-0.41600000000000004,-0.424,-0.401
50,2012-01-01,HUN,HUF,Hungary,645.0,245.69425,2.6252140617861404,12879.296,3.1671987775916404,-0.06,-0.19899999999999998,-0.08,-0.09300000000000001,-0.057
51,2012-01-01,IND,INR,India,84.0,51.905,1.61834120026972,1264.839,2.6300850061726497,-0.302,-0.406,-0.317,-0.327,-0.3
52,2012-01-01,IDN,IDR,Indonesia,22534.0,9160.0,2.46004366812227,3015.3740000000003,2.7110389806762303,0.028999999999999998,-0.12300000000000001,0.006999999999999999,-0.006999999999999999,0.032
53,2012-01-01,ISR,ILS,Israel,15.9,3.8485,4.13147979732363,28685.616,3.8981664110725296,0.20199999999999999,0.024,0.17600000000000002,0.16,0.20600000000000002
54,2012-01-01,JPN,JPY,Japan,320.0,76.92,4.16016640665627,42820.392,4.55183303065902,0.036000000000000004,-0.11699999999999999,0.013999999999999999,0.0,0.04
55,2012-01-01,MYS,MYR,Malaysia,7.35,3.13955,2.34109983914892,8423.176,2.9611242775874196,-0.10400000000000001,-0.23600000000000002,-0.12300000000000001,-0.135,-0.10099999999999999
56,2012-01-01,MEX,MXN,Mexico,37.0,13.6844,2.7038087164946902,9565.962,3.0139727317497402,0.017,-0.133,-0.005,-0.018000000000000002,0.021
57,2012-01-01,NZL,NZD,New Zealand,5.1,1.26000126,4.04761500000405,32145.232999999997,4.05815735464701,0.131,-0.036000000000000004,0.107,0.091,0.135
58,2012-01-01,NOR,NOK,Norway,41.0,6.0399,6.78819185748108,84443.634,6.47671135164342,0.188,0.012,0.163,0.147,0.192
59,2012-01-01,PAK,PKR,Pakistan,260.0,90.05,2.88728484175458,1049.749,2.62013810972329,0.249,0.065,0.223,0.20600000000000002,0.254
60,2012-01-01,PER,PEN,Peru,10.0,2.6925,3.71402042711235,5171.651,2.81075660601972,0.498,0.276,0.466,0.446,0.503
61,2012-01-01,PHL,PHP,Philippines,118.0,44.005,2.6815134643790497,2007.362,2.6644231873631603,0.141,-0.027999999999999997,0.11699999999999999,0.10099999999999999,0.145
62,2012-01-01,POL,PLN,Poland,9.1,3.52045,2.58489681716826,12300.126,3.1404149009977798,-0.067,-0.205,-0.087,-0.099,-0.064
63,2012-01-01,RUS,RUB,Russia,81.0,31.7693,2.54963124777694,10437.49,3.05427678479133,-0.054000000000000006,-0.19399999999999998,-0.07400000000000001,-0.087,-0.05
64,2012-01-01,SAU,SAR,Saudi Arabia,10.0,3.7502,2.66652445202923,16995.78,3.35756671698183,-0.1,-0.233,-0.11900000000000001,-0.131,-0.096
65,2012-01-01,SGP,SGD,Singapore,4.85,1.2928,3.7515470297029703,43116.689000000006,4.56553536724954,-0.068,-0.20600000000000002,-0.08800000000000001,-0.10099999999999999,-0.065
66,2012-01-01,ZAF,ZAR,South Africa,19.95,8.1304,2.45375381285054,7157.8009999999995,2.90260666126585,-0.042,-0.183,-0.062,-0.075,-0.038
67,2012-01-01,KOR,KRW,South Korea,3700.0,1158.75,3.19309600862999,20590.962,3.52382690141901,0.027000000000000003,-0.125,0.005,-0.009000000000000001,0.031
68,2012-01-01,SWE,SEK,Sweden,41.0,6.9338,5.91306354379994,48874.608,4.83181192151421,0.387,0.182,0.358,0.33899999999999997,0.392
69,2012-01-01,CHE,CHF,Switzerland,6.5,0.9551,6.805570097372001,67245.997,5.681401879270769,0.358,0.157,0.32899999999999996,0.311,0.363
70,2012-01-01,TWN,TWD,Taiwan,75.0,29.9795,2.50170950149269,18457.752,3.4251760158607203,-0.172,-0.294,-0.19,-0.201,-0.16899999999999998
71,2012-01-01,THA,THB,Thailand,78.0,31.75,2.4566929133858304,4991.525,2.8024266294060403,-0.006,-0.153,-0.027000000000000003,-0.040999999999999995,-0.003
72,2012-01-01,TUR,TRY,Turkey,6.6,1.86295,3.54276819023592,10398.685,3.0524822368499303,0.316,0.121,0.28800000000000003,0.27,0.32
73,2012-01-01,USA,USD,United States,4.19722,1.0,4.19722,47283.633,4.75823684327479,0.0,-0.14800000000000002,-0.021,-0.035,0.004
74,2012-07-01,ARG,ARS,Argentina,19.0,4.56625,4.16096359156857,9138.177,3.00556800865508,0.489,0.341,0.387,0.51,0.5820000000000001
75,2012-07-01,AUS,AUD,Australia,4.56,0.9743264970000001,4.68015599908292,55589.549000000006,5.01289205904203,0.004,-0.096,-0.064,0.018000000000000002,0.067
76,2012-07-01,BRA,BRL,Brazil,10.08,2.04215,4.935974340768309,10816.487,3.0780935742509703,0.725,0.5529999999999999,0.607,0.7490000000000001,0.833
77,2012-07-01,GBR,GBP,Britain,2.69,0.646266197,4.1623715002999,36119.846,4.17153901815035,0.073,-0.034,0.0,0.08800000000000001,0.14
78,2012-07-01,CAN,CAD,Canada,5.12,1.01945,5.02231595468145,46214.914000000004,4.607781736378169,0.172,0.055999999999999994,0.092,0.18899999999999997,0.24600000000000002
79,2012-07-01,CHL,CLP,Chile,2050.0,493.05,4.1577933272487595,11827.958,3.12180272593262,0.43200000000000005,0.29,0.335,0.452,0.522
80,2012-07-01,CHN,CNY,China,15.65,6.3885,2.4497143304375095,4382.1359999999995,2.8000430677787103,-0.059000000000000004,-0.153,-0.12300000000000001,-0.046,0.0
81,2012-07-01,COL,COP,Colombia,8600.0,1804.475,4.76592914836725,6273.371999999999,2.8817699004707005,0.779,0.602,0.657,0.8029999999999999,0.89
82,2012-07-01,CZE,CZK,Czech Republic,70.33,21.048000000000002,3.34141011022425,18288.284,3.4009757017736804,0.057,-0.049,-0.015,0.071,0.12300000000000001
83,2012-07-01,DNK,DKK,Denmark,28.5,6.1356,4.6450224916878495,56147.143,5.03698761958977,-0.008,-0.107,-0.076,0.006,0.054000000000000006
84,2012-07-01,EGY,EGP,Egypt,16.0,6.0665,2.63743509437072,2788.829,2.7311907750897,0.039,-0.065,-0.032,0.053,0.10400000000000001
85,2012-07-01,EUZ,EUR,Euro area,3.5834822410000005,0.8248443109999999,4.3444346929611095,36947.0,4.20728319633251,0.11,0.0,0.035,0.126,0.18
86,2012-07-01,HKG,HKD,Hong Kong,16.5,7.75815,2.126795692272,31590.681,3.9758181720002903,-0.425,-0.48200000000000004,-0.46399999999999997,-0.41700000000000004,-0.389
87,2012-07-01,HUN,HUF,Hungary,830.0,238.2151,3.48424596089836,12879.296,3.16723466823318,0.183,0.065,0.10300000000000001,0.2,0.257
88,2012-07-01,IND,INR,India,89.0,56.165,1.58461675420636,1264.839,2.66533390912783,-0.361,-0.424,-0.40399999999999997,-0.35200000000000004,-0.32
89,2012-07-01,IDN,IDR,Indonesia,24200.0,9482.5,2.55206960189823,3015.3740000000003,2.7409805661640094,0.001,-0.098,-0.067,0.015,0.064
90,2012-07-01,ISR,ILS,Israel,11.9,4.07625,2.91934989267096,28685.616,3.8502802903110895,-0.185,-0.266,-0.24,-0.17300000000000001,-0.133
91,2012-07-01,JPN,JPY,Japan,320.0,78.22,4.09102531321913,42820.392,4.46109272899712,-0.013999999999999999,-0.11199999999999999,-0.081,0.0,0.048
92,2012-07-01,MYS,MYR,Malaysia,7.4,3.1735,2.33181030408067,8423.176,2.97467034855258,-0.157,-0.24100000000000002,-0.214,-0.145,-0.10400000000000001
93,2012-07-01,MEX,MXN,Mexico,37.0,13.687000000000001,2.70329509753781,9565.962,3.02405407444652,-0.039,-0.134,-0.10400000000000001,-0.025,0.022000000000000002
94,2012-07-01,NZL,NZD,New Zealand,5.1,1.273560876,4.004520000659951,32145.232999999997,3.99978227723254,0.077,-0.03,0.003,0.092,0.14400000000000002
95,2012-07-01,NOR,NOK,Norway,43.0,6.09205,7.05837936326852,84443.634,6.259776624096639,0.213,0.092,0.13,0.23,0.289
96,2012-07-01,PAK,PKR,Pakistan,285.0,94.605,3.01252576502299,1049.749,2.6560391281255002,0.22,0.098,0.13699999999999998,0.237,0.29600000000000004
97,2012-07-01,PHL,PHP,Philippines,118.0,42.2,2.7962085308056897,2007.362,2.69742088980658,0.115,0.004,0.039,0.13,0.185
98,2012-07-01,POL,PLN,Poland,9.1,3.46035,2.6297917840680896,12300.126,3.1422067342840405,-0.1,-0.18899999999999997,-0.161,-0.087,-0.043
99,2012-07-01,RUS,RUB,Russia,75.0,32.76525,2.28901046077781,10437.49,3.0617158062676095,-0.196,-0.276,-0.251,-0.185,-0.145
100,2012-07-01,SAU,SAR,Saudi Arabia,10.0,3.75025,2.6664889007399504,16995.78,3.34512214454352,-0.14300000000000002,-0.228,-0.201,-0.131,-0.08900000000000001
101,2012-07-01,SGP,SGD,Singapore,4.4,1.2585,3.49622566547477,43116.689000000006,4.4738967446494,-0.16,-0.243,-0.217,-0.14800000000000002,-0.107
102,2012-07-01,ZAF,ZAR,South Africa,19.95,8.4683,2.35584473861342,7157.8009999999995,2.91998912901275,-0.132,-0.21899999999999997,-0.191,-0.12,-0.078
103,2012-07-01,KOR,KRW,South Korea,3700.0,1151.0,3.2145960034752403,20590.962,3.50048236284059,-0.012,-0.111,-0.08,0.001,0.05
104,2012-07-01,SWE,SEK,Sweden,39.97301987,6.9777,5.72868135202144,48874.608,4.72271629057971,0.305,0.175,0.21600000000000003,0.32299999999999995,0.386
105,2012-07-01,CHE,CHF,Switzerland,6.5,0.9906,6.56167979002625,67245.997,5.5166073941345,0.27899999999999997,0.152,0.192,0.297,0.36
106,2012-07-01,TWN,TWD,Taiwan,75.0,30.1955,2.4838138133165497,18457.752,3.40829899875124,-0.21600000000000003,-0.294,-0.27,-0.205,-0.16699999999999998
107,2012-07-01,THA,THB,Thailand,82.0,31.7,2.58675078864353,4991.525,2.8263768689792697,-0.016,-0.114,-0.083,-0.002,0.046
108,2012-07-01,TUR,TRY,Turkey,8.25,1.8269,4.51584651595599,10398.685,3.06003890833282,0.5870000000000001,0.429,0.479,0.609,0.687
109,2012-07-01,USA,USD,United States,4.3275,1.0,4.3275,47283.633,4.653964771656559,0.0,-0.1,-0.068,0.013999999999999999,0.063
110,2013-01-01,ARG,ARS,Argentina,19.0,4.9765,3.81794433839044,10959.082,3.2561471460738503,0.316,0.091,0.237,0.599,0.373
111,2013-01-01,AUS,AUD,Australia,4.7,0.959094615,4.90045499838408,66371.218,5.695454409891339,-0.034,-0.19899999999999998,-0.092,0.174,0.008
112,2013-01-01,BRA,BRL,Brazil,11.25,1.99335,5.6437655203551795,12788.551000000001,3.33668251869744,0.898,0.574,0.785,1.307,0.981
